date,time,brightness,altitude,azimuth,satellite,distance to flare centre,brightness at flare centre,sun altitude,city,country,latitude,longitude,
Mar 8, 03:38:17,0.0,32°,18° (NNE),Iridium 52,40 km (W),-7.1,-9°,Hammerfest,Norway,70.63,23.63,
Mar 8, 03:42:50,-0.5,25°,33° (NNE),Iridium 75,72 km (W),-6.6,-9°,Hammerfest,Norway,70.63,23.63,
Mar 8, 16:39:30,-3.6,62°,161° (SSE),Iridium 41,11 km (W),-8.3,-5°,Hammerfest,Norway,70.63,23.63,
Mar 9, 00:10:00,0.7,13°,327° (NNW),Iridium 14,232 km (E),-6.0,-22°,Hammerfest,Norway,70.63,23.63,
Mar 9, 00:16:32,-1.5,28°,116° (ESE),Iridium 7,50 km (W),-7.2,-22°,Hammerfest,Norway,70.63,23.63,
Mar 9, 00:19:24,-0.3,13°,330° (NNW),Iridium 64,165 km (E),-6.0,-22°,Hammerfest,Norway,70.63,23.63,
Mar 9, 00:28:48,-1.4,13°,333° (NNW),Iridium 65,117 km (E),-6.0,-22°,Hammerfest,Norway,70.63,23.63,
Mar 9, 00:38:13,-2.8,13°,337° (NNW),Iridium 66,75 km (E),-6.0,-21°,Hammerfest,Norway,70.63,23.63,
Mar 9, 00:40:38,-0.2,34°,127° (SE),Iridium 51,36 km (E),-8.4,-21°,Hammerfest,Norway,70.63,23.63,
Mar 9, 00:47:35,-5.9,13°,339° (NNW),Iridium 67,8 km (E),-6.0,-21°,Hammerfest,Norway,70.63,23.63,
Mar 9, 00:56:59,-3.7,13°,342° (NNW),Iridium 68,49 km (W),-6.0,-20°,Hammerfest,Norway,70.63,23.63,
Mar 9, 01:06:24,-2.2,14°,345° (NNW),Iridium 21,77 km (W),-6.0,-20°,Hammerfest,Norway,70.63,23.63,
Mar 9, 01:15:50,-1.6,14°,348° (NNW),Iridium 72,92 km (W),-6.0,-19°,Hammerfest,Norway,70.63,23.63,
Mar 9, 01:25:13,0.0,14°,351° (N),Iridium 75,141 km (W),-6.0,-19°,Hammerfest,Norway,70.63,23.63,
Mar 9, 01:34:37,0.7,14°,354° (N),Iridium 70,168 km (W),-6.0,-18°,Hammerfest,Norway,70.63,23.63,
Mar 9, 01:44:06,0.1,15°,358° (N),Iridium 62,136 km (W),-6.0,-17°,Hammerfest,Norway,70.63,23.63,
Mar 9, 01:53:30,0.3,15°,1° (N),Iridium 14,141 km (E),-6.0,-17°,Hammerfest,Norway,70.63,23.63,
Mar 9, 02:02:56,0.3,16°,4° (N),Iridium 64,136 km (E),-6.1,-16°,Hammerfest,Norway,70.63,23.63,
Mar 9, 02:12:22,-0.2,16°,7° (N),Iridium 65,114 km (E),-6.1,-16°,Hammerfest,Norway,70.63,23.63,
Mar 9, 02:21:47,-1.0,17°,10° (N),Iridium 66,87 km (E),-6.1,-15°,Hammerfest,Norway,70.63,23.63,
Mar 9, 02:31:10,-1.1,18°,13° (NNE),Iridium 67,80 km (E),-6.1,-14°,Hammerfest,Norway,70.63,23.63,
Mar 9, 02:40:34,-1.5,19°,16° (NNE),Iridium 68,66 km (E),-6.2,-14°,Hammerfest,Norway,70.63,23.63,
Mar 9, 02:49:57,-3.9,19°,19° (NNE),Iridium 21,31 km (E),-6.2,-13°,Hammerfest,Norway,70.63,23.63,
Mar 9, 02:59:21,-6.1,20°,22° (NNE),Iridium 72,15 km (W),-6.3,-12°,Hammerfest,Norway,70.63,23.63,
Mar 9, 03:08:42,-3.9,21°,25° (NNE),Iridium 75,28 km (W),-6.3,-11°,Hammerfest,Norway,70.63,23.63,
Mar 9, 03:18:04,-1.6,23°,28° (NNE),Iridium 70,57 km (W),-6.4,-11°,Hammerfest,Norway,70.63,23.63,
Mar 9, 03:23:17,-4.5,29°,19° (NNE),Iridium 84,10 km (W),-6.9,-10°,Hammerfest,Norway,70.63,23.63,
Mar 9, 04:13:26,0.9,42°,18° (NNE),Iridium 40,34 km (W),-8.9,-6°,Hammerfest,Norway,70.63,23.63,
Mar 9, 16:34:37,-8.1,61°,162° (SSE),Iridium 81,3 km (E),-8.3,-4°,Hammerfest,Norway,70.63,23.63,
Mar 10, 00:32:12,0.8,13°,337° (NNW),Iridium 21,239 km (E),-6.0,-21°,Hammerfest,Norway,70.63,23.63,
Mar 10, 00:41:37,0.3,13°,341° (NNW),Iridium 72,200 km (E),-6.0,-21°,Hammerfest,Norway,70.63,23.63,
Mar 10, 00:50:59,-1.4,14°,343° (NNW),Iridium 75,113 km (E),-6.0,-20°,Hammerfest,Norway,70.63,23.63,
Mar 10, 01:00:22,-3.6,14°,346° (NNW),Iridium 70,53 km (E),-6.0,-20°,Hammerfest,Norway,70.63,23.63,
Mar 10, 01:09:51,-2.7,14°,349° (N),Iridium 62,71 km (E),-6.0,-19°,Hammerfest,Norway,70.63,23.63,
Mar 10, 01:19:15,-4.9,14°,352° (N),Iridium 14,38 km (E),-6.0,-19°,Hammerfest,Norway,70.63,23.63,
Mar 10, 01:28:40,-5.9,14°,355° (N),Iridium 64,19 km (E),-6.0,-18°,Hammerfest,Norway,70.63,23.63,
Mar 10, 01:38:06,-5.9,15°,359° (N),Iridium 65,21 km (E),-6.0,-17°,Hammerfest,Norway,70.63,23.63,
Mar 10, 01:47:32,-5.5,15°,2° (N),Iridium 66,29 km (E),-6.0,-17°,Hammerfest,Norway,70.63,23.63,
Mar 10, 01:56:55,-5.9,16°,5° (N),Iridium 67,11 km (W),-6.0,-16°,Hammerfest,Norway,70.63,23.63,
Mar 10, 02:06:20,-6.0,16°,8° (N),Iridium 68,3 km (W),-6.1,-16°,Hammerfest,Norway,70.63,23.63,
Mar 10, 02:15:44,-5.8,17°,11° (N),Iridium 21,22 km (W),-6.1,-15°,Hammerfest,Norway,70.63,23.63,
Mar 10, 02:25:09,-2.6,18°,14° (NNE),Iridium 72,54 km (W),-6.1,-14°,Hammerfest,Norway,70.63,23.63,
Mar 10, 02:34:31,-2.9,19°,17° (NNE),Iridium 75,46 km (W),-6.2,-14°,Hammerfest,Norway,70.63,23.63,
Mar 10, 02:43:53,-2.0,19°,19° (NNE),Iridium 70,58 km (W),-6.2,-13°,Hammerfest,Norway,70.63,23.63,
Mar 10, 02:53:19,0.7,20°,23° (NNE),Iridium 62,134 km (W),-6.3,-12°,Hammerfest,Norway,70.63,23.63,
Mar 10, 03:17:18,-0.6,28°,18° (NNE),Iridium 12,36 km (W),-6.8,-10°,Hammerfest,Norway,70.63,23.63,
Mar 10, 03:35:43,-4.9,10°,101° (E),Iridium 66,9 km (E),-4.9,-9°,Hammerfest,Norway,70.63,23.63,
Mar 10, 03:44:48,-1.4,11°,103° (ESE),Iridium 67,61 km (W),-5.1,-8°,Hammerfest,Norway,70.63,23.63,
Mar 10, 22:36:40,-1.4,33°,245° (WSW),Iridium 76,36 km (W),-7.6,-23°,Hammerfest,Norway,70.63,23.63,
Mar 11, 00:17:36,-1.6,32°,122° (ESE),Iridium 35,42 km (W),-7.4,-21°,Hammerfest,Norway,70.63,23.63,
Mar 11, 00:24:48,0.8,34°,127° (SE),Iridium 5,54 km (E),-8.1,-21°,Hammerfest,Norway,70.63,23.63,
Mar 11, 01:22:40,0.9,15°,357° (N),Iridium 67,223 km (E),-6.0,-18°,Hammerfest,Norway,70.63,23.63,
Mar 11, 01:32:05,0.4,15°,359° (N),Iridium 68,184 km (E),-6.0,-17°,Hammerfest,Norway,70.63,23.63,
Mar 11, 01:41:29,0.5,15°,2° (N),Iridium 21,180 km (E),-6.0,-17°,Hammerfest,Norway,70.63,23.63,
Mar 11, 01:50:55,0.8,16°,6° (N),Iridium 72,192 km (E),-6.0,-16°,Hammerfest,Norway,70.63,23.63,
Mar 11, 02:00:17,0.2,16°,8° (N),Iridium 75,153 km (W),-6.0,-16°,Hammerfest,Norway,70.63,23.63,
Mar 11, 02:09:40,0.1,17°,11° (N),Iridium 70,142 km (W),-6.1,-15°,Hammerfest,Norway,70.63,23.63,
Mar 11, 03:02:25,-5.5,24°,19° (NNE),Iridium 83,9 km (E),-6.6,-11°,Hammerfest,Norway,70.63,23.63,
Mar 11, 03:38:44,0.5,11°,103° (ESE),Iridium 72,100 km (E),-5.1,-8°,Hammerfest,Norway,70.63,23.63,
Mar 11, 03:47:49,-4.8,12°,105° (ESE),Iridium 75,21 km (E),-5.2,-7°,Hammerfest,Norway,70.63,23.63,
Mar 11, 03:56:54,-1.4,13°,107° (ESE),Iridium 70,51 km (W),-5.3,-7°,Hammerfest,Norway,70.63,23.63,
Mar 11, 20:34:00,0.6,9°,12° (NNE),Iridium 70,167 km (E),-5.5,-20°,Hammerfest,Norway,70.63,23.63,
Mar 12, 00:12:33,-3.5,31°,122° (ESE),Iridium 61,20 km (E),-7.5,-21°,Hammerfest,Norway,70.63,23.63,
Mar 12, 00:16:35,-2.5,33°,123° (ESE),Iridium 7,30 km (W),-7.5,-21°,Hammerfest,Norway,70.63,23.63,
Mar 12, 02:56:31,-6.3,24°,18° (NNE),Iridium 56,7 km (W),-6.5,-11°,Hammerfest,Norway,70.63,23.63,
Mar 12, 03:50:49,0.8,14°,107° (ESE),Iridium 64,92 km (E),-5.3,-7°,Hammerfest,Norway,70.63,23.63,
Mar 12, 03:59:53,-2.8,15°,110° (ESE),Iridium 65,30 km (E),-5.5,-6°,Hammerfest,Norway,70.63,23.63,
Mar 12, 20:08:52,-0.3,13°,9° (N),Iridium 62,74 km (E),-5.9,-18°,Hammerfest,Norway,70.63,23.63,
Mar 12, 20:18:22,-5.6,11°,10° (N),Iridium 14,8 km (E),-5.7,-19°,Hammerfest,Norway,70.63,23.63,
Mar 12, 20:27:55,-1.2,9°,12° (NNE),Iridium 64,63 km (W),-5.5,-19°,Hammerfest,Norway,70.63,23.63,
Mar 12, 22:14:09,0.7,37°,244° (WSW),Iridium 94,57 km (E),-8.0,-22°,Hammerfest,Norway,70.63,23.63,
Mar 12, 22:16:51,-2.7,34°,249° (WSW),Iridium 46,16 km (E),-7.8,-22°,Hammerfest,Norway,70.63,23.63,
Mar 13, 00:15:35,-3.6,39°,133° (SE),Iridium 96,6 km (E),-8.0,-20°,Hammerfest,Norway,70.63,23.63,
Mar 13, 02:41:32,-3.4,20°,18° (NNE),Iridium 53,18 km (E),-6.3,-12°,Hammerfest,Norway,70.63,23.63,
Mar 13, 04:11:55,-5.1,19°,115° (ESE),Iridium 72,14 km (W),-5.8,-5°,Hammerfest,Norway,70.63,23.63,
Mar 6, 19:22:40,-5.2,42°,355° (N),Iridium 56,7 km (E),-7.8,-16°,Port Moresby,Papua New Guinea,9.42,147.13,
Mar 7, 19:16:40,-1.9,39°,352° (N),Iridium 84,21 km (W),-7.8,-17°,Port Moresby,Papua New Guinea,9.42,147.13,
Mar 8, 09:09:16,-0.3,47°,173° (S),Iridium 81,33 km (W),-8.0,-12°,Port Moresby,Papua New Guinea,9.42,147.13,
Mar 8, 19:10:42,-2.3,38°,355° (N),Iridium 12,18 km (E),-7.7,-18°,Port Moresby,Papua New Guinea,9.42,147.13,
Mar 9, 19:04:46,-3.0,36°,354° (N),Iridium 86,14 km (E),-7.6,-20°,Port Moresby,Papua New Guinea,9.42,147.13,
Mar 10, 08:59:16,-7.9,49°,173° (S),Iridium 98,1 km (E),-8.0,-10°,Port Moresby,Papua New Guinea,9.42,147.13,
Mar 7, 04:50:26,0.7,32°,11° (N),Iridium 12,45 km (E),-7.3,-14°,Lyons,France,45.75,4.83,
Mar 8, 04:44:31,-3.1,31°,10° (N),Iridium 86,14 km (E),-7.2,-15°,Lyons,France,45.75,4.83,
Mar 10, 04:32:44,-2.3,27°,10° (N),Iridium 10,20 km (E),-7.0,-17°,Lyons,France,45.75,4.83,
Mar 11, 04:26:52,-2.7,25°,10° (N),Iridium 13,18 km (E),-6.8,-17°,Lyons,France,45.75,4.83,
Mar 11, 04:27:56,-5.8,26°,9° (N),Iridium 90,8 km (W),-7.0,-17°,Lyons,France,45.75,4.83,
Mar 11, 17:51:42,-8.1,56°,183° (S),Iridium 39,2 km (W),-8.2,-3°,Lyons,France,45.75,4.83,
Mar 11, 20:07:57,-1.5,11°,4° (N),Iridium 72,40 km (E),-6.1,-26°,Lyons,France,45.75,4.83,
Mar 12, 04:21:01,-3.7,23°,11° (N),Iridium 50,14 km (E),-6.7,-18°,Lyons,France,45.75,4.83,
Mar 12, 20:01:21,-2.6,15°,5° (N),Iridium 62,21 km (E),-6.3,-25°,Lyons,France,45.75,4.83,
Mar 13, 04:15:08,-5.0,21°,10° (N),Iridium 53,10 km (W),-6.6,-19°,Lyons,France,45.75,4.83,
Mar 6, 16:50:25,0.8,48°,157° (SSE),Iridium 15,45 km (E),-8.2,-12°,Cairo,Egypt,30.03,31.35,
Mar 7, 03:05:21,-7.4,36°,3° (N),Iridium 12,3 km (E),-7.5,-16°,Cairo,Egypt,30.03,31.35,
Mar 8, 02:59:27,-2.9,34°,1° (N),Iridium 86,16 km (W),-7.5,-17°,Cairo,Egypt,30.03,31.35,
Mar 8, 03:23:29,-5.9,46°,4° (N),Iridium 40,2 km (W),-9.8,-12°,Cairo,Egypt,30.03,31.35,
Mar 8, 16:42:12,-0.5,51°,162° (SSE),Iridium 98,30 km (E),-8.2,-10°,Cairo,Egypt,30.03,31.35,
Mar 9, 02:53:34,1.0,32°,5° (N),Iridium 52,50 km (E),-7.3,-18°,Cairo,Egypt,30.03,31.35,
Mar 9, 15:57:42,-8.9,55°,190° (S),Iridium 82,1 km (W),-9.0,-1°,Cairo,Egypt,30.03,31.35,
Mar 9, 16:37:12,-1.0,52°,165° (SSE),Iridium 15,25 km (E),-8.2,-9°,Cairo,Egypt,30.03,31.35,
Mar 10, 02:47:40,-1.0,30°,4° (N),Iridium 10,27 km (E),-7.2,-19°,Cairo,Egypt,30.03,31.35,
Mar 11, 02:41:50,0.6,27°,5° (N),Iridium 13,46 km (E),-7.1,-20°,Cairo,Egypt,30.03,31.35,
Mar 11, 02:43:31,-5.3,28°,2° (N),Iridium 90,8 km (W),-7.3,-19°,Cairo,Egypt,30.03,31.35,
Mar 11, 18:03:52,-6.3,17°,12° (NNE),Iridium 68,6 km (W),-6.6,-27°,Cairo,Egypt,30.03,31.35,
Mar 12, 16:24:01,-8.1,55°,176° (S),Iridium 15,1 km (E),-8.2,-6°,Cairo,Egypt,30.03,31.35,
Mar 12, 17:57:34,0.2,18°,13° (NNE),Iridium 75,47 km (E),-6.7,-26°,Cairo,Egypt,30.03,31.35,
Mar 7, 05:08:27,-1.1,33°,10° (N),Iridium 83,26 km (E),-7.3,-14°,Bordeaux,France,44.83,0.52,
Mar 7, 18:42:41,-1.5,54°,158° (SSE),Iridium 80,22 km (E),-8.2,-10°,Bordeaux,France,44.83,0.52,
Mar 9, 04:56:35,-6.9,29°,9° (N),Iridium 84,5 km (E),-7.1,-16°,Bordeaux,France,44.83,0.52,
Mar 10, 04:50:42,-5.7,27°,9° (N),Iridium 12,7 km (E),-7.0,-17°,Bordeaux,France,44.83,0.52,
Mar 10, 20:32:34,0.3,9°,4° (N),Iridium 21,524 km (W),-5.8,-28°,Bordeaux,France,44.83,0.52,
Mar 11, 04:44:48,-0.7,26°,9° (N),Iridium 86,34 km (W),-6.9,-17°,Bordeaux,France,44.83,0.52,
Mar 11, 20:26:08,-1.5,10°,4° (N),Iridium 70,46 km (E),-6.0,-26°,Bordeaux,France,44.83,0.52,
Mar 12, 04:38:58,-6.7,23°,10° (N),Iridium 52,4 km (E),-6.8,-18°,Bordeaux,France,44.83,0.52,
Mar 12, 20:19:32,-3.1,13°,4° (N),Iridium 64,18 km (W),-6.2,-25°,Bordeaux,France,44.83,0.52,
Mar 13, 04:33:04,0.3,22°,9° (N),Iridium 10,52 km (W),-6.7,-19°,Bordeaux,France,44.83,0.52,
Mar 6, 16:10:17,-0.9,57°,152° (SSE),Iridium 41,27 km (E),-8.3,-9°,Moscow,Russia,55.75,37.6,
Mar 7, 02:45:18,0.5,33°,11° (N),Iridium 84,45 km (W),-7.3,-12°,Moscow,Russia,55.75,37.6,
Mar 8, 02:39:21,0.8,32°,11° (NNE),Iridium 12,49 km (W),-7.2,-13°,Moscow,Russia,55.75,37.6,
Mar 9, 04:00:47,-5.6,21°,70° (ENE),Iridium 65,14 km (E),-5.8,-1°,Moscow,Russia,55.75,37.6,
Mar 9, 16:01:15,-2.0,59°,167° (SSE),Iridium 98,19 km (W),-8.3,-7°,Moscow,Russia,55.75,37.6,
Mar 11, 02:12:42,-2.6,24°,14° (NNE),Iridium 84,20 km (E),-6.7,-15°,Moscow,Russia,55.75,37.6,
Mar 11, 18:21:38,-0.3,9°,3° (N),Iridium 21,121 km (E),-5.7,-25°,Moscow,Russia,55.75,37.6,
Mar 12, 02:06:47,-6.6,22°,14° (NNE),Iridium 12,1 km (W),-6.6,-16°,Moscow,Russia,55.75,37.6,
Mar 12, 02:09:04,-2.1,24°,14° (NNE),Iridium 90,24 km (W),-6.8,-15°,Moscow,Russia,55.75,37.6,
Mar 12, 03:05:10,0.0,12°,59° (ENE),Iridium 72,133 km (E),-5.2,-8°,Moscow,Russia,55.75,37.6,
Mar 12, 03:14:31,-2.7,14°,61° (ENE),Iridium 75,52 km (E),-5.3,-6°,Moscow,Russia,55.75,37.6,
Mar 12, 18:15:13,-3.3,11°,3° (N),Iridium 70,28 km (E),-5.9,-23°,Moscow,Russia,55.75,37.6,
Mar 13, 02:00:49,0.9,22°,13° (NNE),Iridium 86,70 km (W),-6.6,-16°,Moscow,Russia,55.75,37.6,
Mar 13, 02:49:39,-0.8,10°,55° (NE),Iridium 70,125 km (E),-5.1,-9°,Moscow,Russia,55.75,37.6,
Mar 13, 02:59:05,-1.8,12°,58° (ENE),Iridium 62,92 km (W),-5.2,-8°,Moscow,Russia,55.75,37.6,
Mar 7, 00:13:29,0.0,42°,350° (N),Iridium 50,37 km (W),-7.9,-15°,Bogotá,Colombia,4.53,74.25,
Mar 8, 00:07:30,-5.1,41°,352° (N),Iridium 53,8 km (W),-7.8,-17°,Bogotá,Colombia,4.53,74.25,
Mar 8, 14:02:02,0.2,46°,175° (S),Iridium 15,37 km (W),-8.0,-12°,Bogotá,Colombia,4.53,74.25,
Mar 9, 00:01:38,-1.8,39°,353° (N),Iridium 54,21 km (E),-7.8,-18°,Bogotá,Colombia,4.53,74.25,
Mar 9, 23:55:37,-2.0,37°,352° (N),Iridium 83,20 km (E),-7.7,-20°,Bogotá,Colombia,4.53,74.25,
Mar 10, 03:43:32,0.5,30°,2° (N),Iridium 50,46 km (W),-7.3,-18°,Cape Town,South Africa,33.92,18.37,
Mar 10, 17:23:41,-8.2,54°,170° (S),Iridium 41,1 km (W),-8.2,-8°,Cape Town,South Africa,33.92,18.37,
Mar 10, 19:07:11,-1.0,9°,7° (N),Iridium 75,34 km (W),-6.0,-29°,Cape Town,South Africa,33.92,18.37,
Mar 11, 03:37:38,0.3,28°,3° (N),Iridium 53,43 km (W),-7.2,-18°,Cape Town,South Africa,33.92,18.37,
Mar 11, 19:00:04,-1.5,15°,9° (N),Iridium 14,26 km (W),-6.4,-27°,Cape Town,South Africa,33.92,18.37,
Mar 12, 03:31:50,0.1,26°,3° (N),Iridium 54,43 km (W),-7.0,-19°,Cape Town,South Africa,33.92,18.37,
Mar 12, 18:53:27,-5.0,19°,10° (N),Iridium 66,8 km (W),-6.7,-26°,Cape Town,South Africa,33.92,18.37,
Mar 6, 19:57:30,-2.7,35°,5° (N),Iridium 84,15 km (E),-7.5,-15°,Adelaide,Australia,34.92,138.6,
Mar 7, 19:51:35,-0.3,33°,6° (N),Iridium 12,33 km (E),-7.4,-16°,Adelaide,Australia,34.92,138.6,
Mar 8, 19:45:41,-4.1,31°,5° (N),Iridium 86,10 km (E),-7.3,-17°,Adelaide,Australia,34.92,138.6,
Mar 8, 19:49:10,0.6,33°,2° (N),Iridium 90,44 km (W),-7.5,-16°,Adelaide,Australia,34.92,138.6,
Mar 10, 19:33:57,0.0,27°,7° (N),Iridium 10,39 km (E),-7.0,-19°,Adelaide,Australia,34.92,138.6,
Mar 11, 19:28:08,0.7,24°,7° (N),Iridium 13,50 km (E),-6.9,-20°,Adelaide,Australia,34.92,138.6,
Mar 12, 09:16:18,-0.5,55°,178° (S),Iridium 80,29 km (W),-8.1,-6°,Adelaide,Australia,34.92,138.6,
Mar 10, 23:44:35,0.1,31°,355° (N),Iridium 50,40 km (W),-7.4,-20°,Kingston,Jamaica,17.98,76.82,
Mar 11, 23:38:41,-2.1,29°,356° (N),Iridium 53,21 km (W),-7.3,-21°,Kingston,Jamaica,17.98,76.82,
Mar 12, 23:32:52,-7.2,27°,357° (N),Iridium 54,1 km (W),-7.2,-22°,Kingston,Jamaica,17.98,76.82,
Mar 6, 17:33:12,-2.3,34°,8° (N),Iridium 86,18 km (E),-7.4,-15°,Wellington,New Zealand,41.28,174.78,
Mar 7, 07:09:36,-0.4,53°,157° (SSE),Iridium 98,31 km (E),-8.2,-11°,Wellington,New Zealand,41.28,174.78,
Mar 8, 06:51:19,-0.1,55°,177° (S),Iridium 39,32 km (W),-8.3,-7°,Wellington,New Zealand,41.28,174.78,
Mar 8, 17:21:24,0.2,30°,9° (N),Iridium 10,40 km (E),-7.2,-16°,Wellington,New Zealand,41.28,174.78,
Mar 9, 17:15:32,0.7,28°,9° (N),Iridium 13,48 km (E),-7.0,-17°,Wellington,New Zealand,41.28,174.78,
Mar 11, 17:03:50,0.4,24°,10° (N),Iridium 53,47 km (E),-6.8,-19°,Wellington,New Zealand,41.28,174.78,
Mar 12, 16:58:03,-0.8,22°,9° (N),Iridium 54,34 km (E),-6.7,-19°,Wellington,New Zealand,41.28,174.78,
Mar 7, 15:33:26,-7.9,44°,170° (S),Iridium 80,0 km (W),-7.9,-13°,Cayenne,French Guiana,4.82,52.3,
Mar 11, 01:21:05,-0.7,35°,349° (NNW),Iridium 50,32 km (W),-7.6,-20°,Cayenne,French Guiana,4.82,52.3,
Mar 12, 01:15:08,-7.6,33°,350° (N),Iridium 53,1 km (W),-7.6,-22°,Cayenne,French Guiana,4.82,52.3,
Mar 13, 01:09:16,-0.6,32°,351° (N),Iridium 54,31 km (E),-7.5,-23°,Cayenne,French Guiana,4.82,52.3,
Mar 6, 13:01:26,-2.6,45°,165° (SSE),Iridium 41,16 km (E),-8.0,-14°,Guatemala City,Guatemala,14.62,90.52,
Mar 7, 12:56:47,-2.5,46°,166° (SSE),Iridium 15,16 km (E),-8.0,-13°,Guatemala City,Guatemala,14.62,90.52,
Mar 9, 22:54:40,-0.6,34°,354° (N),Iridium 52,32 km (W),-7.6,-19°,Guatemala City,Guatemala,14.62,90.52,
Mar 10, 12:43:30,-1.6,50°,175° (S),Iridium 15,21 km (W),-8.1,-10°,Guatemala City,Guatemala,14.62,90.52,
Mar 10, 22:48:46,0.1,32°,353° (N),Iridium 10,41 km (W),-7.5,-20°,Guatemala City,Guatemala,14.62,90.52,
Mar 10, 23:07:21,-0.3,44°,353° (N),Iridium 40,22 km (W),-9.8,-16°,Guatemala City,Guatemala,14.62,90.52,
Mar 11, 22:42:52,-7.0,30°,355° (N),Iridium 13,5 km (W),-7.4,-21°,Guatemala City,Guatemala,14.62,90.52,
Mar 12, 22:36:59,-0.6,28°,357° (N),Iridium 50,32 km (E),-7.3,-23°,Guatemala City,Guatemala,14.62,90.52,
Mar 9, 01:11:37,-0.7,34°,359° (N),Iridium 52,31 km (W),-7.5,-17°,Asunción,Paraguay,25.25,57.67,
Mar 10, 01:05:43,0.8,31°,358° (N),Iridium 10,49 km (W),-7.4,-19°,Asunción,Paraguay,25.25,57.67,
Mar 11, 00:59:50,-1.6,29°,359° (N),Iridium 13,24 km (W),-7.3,-20°,Asunción,Paraguay,25.25,57.67,
Mar 12, 00:53:58,-7.1,27°,1° (N),Iridium 50,2 km (E),-7.2,-21°,Asunción,Paraguay,25.25,57.67,
Mar 13, 00:48:08,-4.1,25°,1° (N),Iridium 53,11 km (E),-7.0,-22°,Asunción,Paraguay,25.25,57.67,
Mar 6, 18:14:52,0.0,57°,162° (SSE),Iridium 39,33 km (E),-8.4,-6°,Aberdeen,Scotland,57.15,2.15,
Mar 6, 18:31:45,-6.9,58°,155° (SSE),Iridium 81,4 km (E),-8.4,-9°,Aberdeen,Scotland,57.15,2.15,
Mar 7, 05:02:48,-0.3,32°,14° (NNE),Iridium 13,34 km (E),-7.1,-13°,Aberdeen,Scotland,57.15,2.15,
Mar 8, 04:56:53,-0.9,30°,15° (NNE),Iridium 50,30 km (E),-7.1,-13°,Aberdeen,Scotland,57.15,2.15,
Mar 8, 04:56:43,-2.5,30°,14° (NNE),Iridium 90,17 km (E),-7.2,-13°,Aberdeen,Scotland,57.15,2.15,
Mar 8, 18:23:54,-8.2,59°,162° (SSE),Iridium 41,2 km (W),-8.3,-7°,Aberdeen,Scotland,57.15,2.15,
Mar 9, 04:50:56,-3.8,29°,14° (NNE),Iridium 53,12 km (E),-7.0,-13°,Aberdeen,Scotland,57.15,2.15,
Mar 9, 18:18:41,-3.2,58°,164° (SSE),Iridium 81,12 km (E),-8.3,-6°,Aberdeen,Scotland,57.15,2.15,
Mar 10, 04:45:05,-5.2,27°,14° (NNE),Iridium 54,9 km (W),-6.9,-14°,Aberdeen,Scotland,57.15,2.15,
Mar 11, 05:46:27,-4.8,17°,62° (ENE),Iridium 62,27 km (E),-5.6,-5°,Aberdeen,Scotland,57.15,2.15,
Mar 11, 20:48:18,-1.4,9°,3° (N),Iridium 14,85 km (E),-5.7,-24°,Aberdeen,Scotland,57.15,2.15,
Mar 12, 04:33:13,0.8,25°,14° (NNE),Iridium 56,59 km (W),-6.8,-15°,Aberdeen,Scotland,57.15,2.15,
Mar 12, 05:21:36,-0.6,13°,56° (NE),Iridium 14,111 km (E),-5.3,-8°,Aberdeen,Scotland,57.15,2.15,
Mar 12, 05:30:59,-5.3,14°,59° (ENE),Iridium 64,11 km (W),-5.4,-7°,Aberdeen,Scotland,57.15,2.15,
Mar 12, 20:32:03,0.7,14°,3° (N),Iridium 65,80 km (E),-6.2,-22°,Aberdeen,Scotland,57.15,2.15,
Mar 12, 20:42:03,-0.6,9°,2° (N),Iridium 66,63 km (W),-5.7,-23°,Aberdeen,Scotland,57.15,2.15,
Mar 13, 04:18:27,-1.9,19°,15° (NNE),Iridium 53,29 km (E),-6.4,-16°,Aberdeen,Scotland,57.15,2.15,
Mar 13, 05:06:08,-5.1,11°,53° (NE),Iridium 65,27 km (W),-5.2,-10°,Aberdeen,Scotland,57.15,2.15,
Mar 13, 05:15:32,0.1,13°,56° (NE),Iridium 66,174 km (W),-5.3,-9°,Aberdeen,Scotland,57.15,2.15,
Mar 7, 04:27:05,0.4,31°,16° (NNE),Iridium 84,43 km (E),-7.1,-12°,Oslo,Norway,59.95,10.7,
Mar 7, 06:01:16,-6.3,27°,66° (ENE),Iridium 75,3 km (E),-6.3,0°,Oslo,Norway,59.95,10.7,
Mar 7, 17:53:12,-0.2,60°,163° (SSE),Iridium 81,32 km (W),-8.3,-8°,Oslo,Norway,59.95,10.7,
Mar 8, 04:21:08,-0.5,29°,16° (NNE),Iridium 12,34 km (E),-7.0,-13°,Oslo,Norway,59.95,10.7,
Mar 9, 04:15:11,-4.5,28°,15° (NNE),Iridium 86,10 km (W),-7.0,-13°,Oslo,Norway,59.95,10.7,
Mar 9, 04:15:40,-3.4,28°,15° (NNE),Iridium 90,13 km (E),-7.0,-13°,Oslo,Norway,59.95,10.7,
Mar 10, 04:09:16,-4.8,27°,15° (NNE),Iridium 52,9 km (E),-6.8,-13°,Oslo,Norway,59.95,10.7,
Mar 10, 05:15:05,-4.1,19°,58° (ENE),Iridium 66,26 km (E),-5.8,-5°,Oslo,Norway,59.95,10.7,
